,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ceilingvis,crosswinds,departures,severe,winterwx,sum,airport,nodepart,delayrange,natsvr,arrivalimpacts,delayrange.1,delays,ac,hour,west,east,maxsize,numpoints,weekday,pred_dif,delayrangeF,local_time,i_wind,cv,i_winter,i_dep,i_nat,i_arr,i_svr,i_dr,i_cv
23,23,23,23,23,23,0.0,0,43.8,86,0,137.3,IAH,0,"(50, 70)",0,7.5,"(50, 70)",28.446879786879794,24,23,3,3,1641,6,1,-31.55312021312021,"[16.446879786879794, 40.44687978687979]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 16.446879786879794 and 40.44687978687979%,No Impacts
24,24,24,24,24,24,0.0,0,45.900000000000006,129,0,203.2636363636364,SEA,0,"(80, 100)",0,28.363636363636363,"(80, 100)",42.54015873015873,25,23,4,7,646,11,1,-53.45984126984127,"[30.54015873015873, 54.54015873015873]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 30.54015873015873 and 54.54015873015873%,No Impacts
25,25,25,25,25,25,0.0,0,57.35,0,0,94.55,PHX,0,"(27, 47)",0,37.2,"(27, 47)",15.7335588117778,26,23,0,0,0,0,1,-21.2664411882222,"[3.733558811777799, 27.733558811777797]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Signifcant Arrival Delays,No Impacts,Predicted Departure Delays Between 3.733558811777799 and 27.733558811777797%,No Impacts
26,26,26,26,26,26,0.0,0,35.33333333333333,0,0,65.33333333333333,LAS,0,"(10, 30)",0,30.0,"(10, 30)",18.53,27,23,0,0,0,0,1,-1.4700000000000004,"[6.530000000000001, 30.53]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Elevated Arrival Delays,No Impacts,Predicted Departure Delays Between 6.530000000000001 and 30.53%,No Impacts
27,27,27,27,27,27,0.0,0,19.0,59,0,82.0,CLT,0,"(20, 40)",0,4.0,"(20, 40)",22.805206552706554,28,23,3,2,114,5,1,-7.194793447293446,"[10.805206552706554, 34.80520655270655]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Managable Flow,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 10.805206552706554 and 34.80520655270655%,No Impacts
28,28,28,28,28,28,0.0,0,52.0,74,0,147.0,DEN,0,"(55, 75)",0,21.0,"(55, 75)",34.23126984126985,29,23,5,3,381,8,1,-30.76873015873016,"[22.23126984126985, 46.23126984126985]",Apr 22 (Sat) 03:00 PM,No Impacts,0,No Impacts,Near Max Capacity,No Impacts,Elevated Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 22.23126984126985 and 46.23126984126985%,No Impacts
29,29,29,29,29,29,0.0,0,31.4,20,0,85.15,LAX,0,"(21, 41)",0,33.75,"(21, 41)",19.84179792429792,30,23,4,0,248,4,1,-11.158202075702077,"[7.841797924297921, 31.84179792429792]",Apr 22 (Sat) 02:00 PM,No Impacts,0,No Impacts,Higher Flow,No Impacts,Elevated Arrival Delays,Some T-Storm Impacts,Predicted Departure Delays Between 7.841797924297921 and 31.84179792429792%,No Impacts
30,30,30,30,30,30,0.0,0,0.0,35,0,36.2,IND,1,"(0, 20)",0,1.2,"(0, 20)",25.376666666666665,31,23,1,2,374,3,1,21.376666666666665,"[13.376666666666665, 37.376666666666665]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Moderate T-Storm Impacts - Possible Ground Stop,Predicted Departure Delays Between 13.376666666666665 and 37.376666666666665%,No Impacts
31,31,31,31,31,31,0.0,0,0.0,136,0,137.25,OKC,1,"(50, 70)",0,1.25,"(50, 70)",25.819921321793863,32,23,0,0,0,0,1,-34.18007867820614,"[13.819921321793863, 37.81992132179386]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 13.819921321793863 and 37.81992132179386%,No Impacts
32,32,32,32,32,32,0.0,0,0.0,45,0,46.2,MCI,0,"(0, 20)",0,1.2,"(0, 20)",23.37333333333333,33,23,3,2,1107,5,1,13.373333333333331,"[11.373333333333331, 35.373333333333335]",Apr 22 (Sat) 04:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 11.373333333333331 and 35.373333333333335%,No Impacts
33,33,33,33,33,33,0.0,0,0.0,45,0,51.0,RDU,0,"(3, 23)",0,6.0,"(3, 23)",20.98,34,23,1,2,388,3,1,7.98,"[8.98, 32.980000000000004]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,Scattered Arrival Delays,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 8.98 and 32.980000000000004%,No Impacts
34,34,34,34,34,34,7.584,0,0.0,70,0,81.184,CLE,1,"(19, 39)",0,3.6,"(19, 39)",19.702656695156698,35,23,2,3,218,5,1,-9.297343304843304,"[7.702656695156698, 31.702656695156698]",Apr 22 (Sat) 05:00 PM,No Impacts,0,No Impacts,Few Departures,No Impacts,0,Extensive T-Storm Impacts - Ground Stop Likely,Predicted Departure Delays Between 7.702656695156698 and 31.702656695156698%,Minor Impacts
